expenseUrl,expenseName,expenseImage
home,Home,https://img.icons8.com/material-two-tone/96/null/cottage.png
flight,Flight,https://img.icons8.com/material-two-tone/96/null/airplane-front-view.png
travel,Travel,https://img.icons8.com/material-two-tone/96/null/travel-agency.png
medication,Medication,https://img.icons8.com/material-two-tone/96/null/pill.png
vacation,Vacation,https://img.icons8.com/material-two-tone/96/null/beach--v1.png
ticket,Ticket,https://img.icons8.com/material-two-tone/96/null/two-tickets.png
car,Car,https://img.icons8.com/material-two-tone/96/null/sedan.png
business,Business,https://img.icons8.com/material-two-tone/96/null/organization--v2.png
college,College,https://img.icons8.com/material-two-tone/96/null/student-center.png
education,Education,https://img.icons8.com/material-two-tone/96/null/reading--v1.png
tuition,Tuition,https://img.icons8.com/material-two-tone/96/null/diploma--v1.png
medical,Medical,https://img.icons8.com/material-two-tone/96/null/tonometer.png
holiday,Holiday,https://img.icons8.com/material-two-tone/96/null/bungalow.png
wedding,Wedding,https://img.icons8.com/material-two-tone/96/null/family--v2.png
household,Household,https://img.icons8.com/material-two-tone/96/null/prefab-house.png
pet,Pet,https://img.icons8.com/material-two-tone/96/null/dog-walking.png
leisure,Leisure,https://img.icons8.com/material-two-tone/96/null/new-years-eve.png
mortgage,Mortgage,https://img.icons8.com/material-two-tone/96/null/school-house.png
repair,Repair,https://img.icons8.com/material-two-tone/96/null/car-service.png
rent,Rent,https://img.icons8.com/material-two-tone/96/null/mortgage.png
investment,Investment,https://img.icons8.com/material-two-tone/96/null/money-bag.png
hotel,Hotel,https://img.icons8.com/material-two-tone/96/null/bedroom.png
visit,Visit,https://img.icons8.com/material-two-tone/96/null/planet.png
advertising,Advertising,https://img.icons8.com/material-two-tone/96/null/area-chart.png
marketing,Marketing,https://img.icons8.com/material-two-tone/96/null/rebalance-portfolio.png
salary,Salary,https://img.icons8.com/material-two-tone/96/null/money-yours.png
property,Property,https://img.icons8.com/material-two-tone/96/null/real-estate.png
equipment,Equipment,https://img.icons8.com/material-two-tone/96/null/interstate-plow-track.png
growth,Growth,https://img.icons8.com/material-two-tone/96/null/statistics.png
food,Food,https://img.icons8.com/material-two-tone/96/null/kawaii-french-fries.png
drink,Drink,https://img.icons8.com/material-two-tone/96/null/glasses-1.png
university,University,https://img.icons8.com/material-two-tone/96/null/courses.png
hospital,Hospital,https://img.icons8.com/material-two-tone/96/null/hospital-insurance.png
dental,Dental,https://img.icons8.com/material-two-tone/96/null/tooth-cracked.png
clothing,Clothing,https://img.icons8.com/material-two-tone/96/null/clothes.png
electronic,Electronic,https://img.icons8.com/material-two-tone/96/null/multiple-devices.png
footwear,Footwear,https://img.icons8.com/material-two-tone/96/null/trainers.png
shopping,Shopping,https://img.icons8.com/material-two-tone/96/null/shop.png
transportation,Transportation,https://img.icons8.com/material-two-tone/96/null/airplane-tail-fin.png
school,School,https://img.icons8.com/material-two-tone/96/null/school.png
bill,Bill,https://img.icons8.com/material-two-tone/96/null/paid-bill.png
restaurant,Restaurant,https://img.icons8.com/material-two-tone/96/null/country.png
cafe,Cafe,https://img.icons8.com/material-two-tone/96/null/tea-cup--v1.png
pub,Pub,https://img.icons8.com/material-two-tone/96/null/beer.png
meal,Meal,https://img.icons8.com/material-two-tone/96/null/thanksgiving.png
trip,Trip,https://img.icons8.com/material-two-tone/96/null/people-in-car.png
tour,Tour,https://img.icons8.com/material-two-tone/96/null/worldwide-location.png
training,Training,https://img.icons8.com/material-two-tone/96/null/training.png
freight,Freight,https://img.icons8.com/material-two-tone/96/null/in-transit.png
shipping,Shipping,https://img.icons8.com/material-two-tone/96/null/trailer-unloading.png
legal,Legal,https://img.icons8.com/material-two-tone/96/null/auction.png
entertainment,Entertainment,https://img.icons8.com/material-two-tone/96/null/musical-stories.png
communication,Communication,https://img.icons8.com/material-two-tone/96/null/chat--v1.png
furniture,Furniture,https://img.icons8.com/material-two-tone/96/null/wardrobe.png
therapy,Therapy,https://img.icons8.com/material-two-tone/96/null/counselor.png
gift,Gift,https://img.icons8.com/material-two-tone/96/null/gift.png
emergency,Emergency,https://img.icons8.com/material-two-tone/96/null/emergency-exit.png
automobile,Automobile,https://img.icons8.com/material-two-tone/96/null/fiat-500.png
debt,Debt,https://img.icons8.com/material-two-tone/96/null/debt.png
loan,Loan,https://img.icons8.com/material-two-tone/96/null/payment-history.png
gym,Gym,https://img.icons8.com/material-two-tone/96/null/strength.png
family,Family,https://img.icons8.com/material-two-tone/96/null/defend-family.png
christmas,Christmas,https://img.icons8.com/material-two-tone/96/null/confetti.png
recreation,Recreation,https://img.icons8.com/material-two-tone/96/null/theme-park.png
maintenance,Maintenance,https://img.icons8.com/material-two-tone/96/null/apartment.png
insurance,Insurance,https://img.icons8.com/material-two-tone/96/null/guarantee.png
childcare,Childcare,https://img.icons8.com/material-two-tone/96/null/children.png
office,Office,https://img.icons8.com/material-two-tone/96/null/completed-task.png
van,Van,https://img.icons8.com/material-two-tone/96/null/rv-campground.png
staff,Staff,https://img.icons8.com/material-two-tone/96/null/organization-chart-people.png
employee,Employee,https://img.icons8.com/material-two-tone/96/null/helping-hand.png
financial,Financial,https://img.icons8.com/material-two-tone/96/null/cash-in-hand--v2.png
machinery,Machinery,https://img.icons8.com/material-two-tone/96/null/loader.png
