stockRoute,stockTicker
a,A
aa,AA
aac,AAC
aaic,AAIC
aain,AAIN
aamc,AAMC
aan,AAN
aap,AAP
aat,AAT
aau,AAU
abbv,ABBV
abc,ABC
abev,ABEV
abg,ABG
abm,ABM
abr,ABR
abt,ABT
ac,AC
aca,ACA
acaq,ACAQ
acco,ACCO
acel,ACEL
achr,ACHR
acm,ACM
acr,ACR
acre,ACRE
acro,ACRO
acu,ACU
acv,ACV
adc,ADC
adct,ADCT
adm,ADM
adnt,ADNT
adrt,ADRT
adt,ADT
ae,AE
aef,AEF
aefc,AEFC
aeg,AEG
ael,AEL
aem,AEM
aenz,AENZ
aeo,AEO
aer,AER
aes,AES
aesc,AESC
aesi,AESI
aeva,AEVA
afb,AFB
afg,AFG
afgb,AFGB
afgc,AFGC
afgd,AFGD
afge,AFGE
afl,AFL
aft,AFT
aftr,AFTR
ag,AG
agac,AGAC
agco,AGCO
agd,AGD
age,AGE
agi,AGI
agl,AGL
ago,AGO
agr,AGR
agro,AGRO
ags,AGS
agti,AGTI
agx,AGX
ahh,AHH
aht,AHT
aic,AIC
aif,AIF
aig,AIG
aim,AIM
ain,AIN
ainc,AINC
aio,AIO
airc,AIRC
airi,AIRI
ait,AIT
aiu,AIU
aiv,AIV
aiz,AIZ
aizn,AIZN
ajg,AJG
ajrd,AJRD
ajx,AJX
ajxa,AJXA
akr,AKR
al,AL
alb,ALB
alc,ALC
alcc,ALCC
ale,ALE
alg,ALG
alit,ALIT
alk,ALK
allg,ALLG
ally,ALLY
altg,ALTG
alv,ALV
alx,ALX
am,AM
ambc,AMBC
ambi,AMBI
ambo,AMBO
ambp,AMBP
amcr,AMCR
ame,AME
amg,AMG
amh,AMH
amk,AMK
amn,AMN
amp,AMP
ampe,AMPE
amps,AMPS
ampx,AMPX
ampy,AMPY
amr,AMR
amrc,AMRC
amrx,AMRX
ams,AMS
amt,AMT
amtd,AMTD
amwl,AMWL
an,AN
anet,ANET
anf,ANF
anvs,ANVS
aod,AOD
aomr,AOMR
aon,AON
aort,AORT
ap,AP
apam,APAM
apca,APCA
apd,APD
ape,APE
apg,APG
apgb,APGB
aph,APH
aple,APLE
apo,APO
aprn,APRN
apt,APT
aptv,APTV
aqn,AQN
aqna,AQNA
aqnb,AQNB
aqnu,AQNU
aqua,AQUA
ar,AR
arc,ARC
arch,ARCH
arco,ARCO
ardc,ARDC
are,ARE
areb,AREB
aren,AREN
ares,ARES
argd,ARGD
argo,ARGO
ari,ARI
aris,ARIS
arl,ARL
arlo,ARLO
armk,ARMK
armp,ARMP
arnc,ARNC
aroc,AROC
arr,ARR
arw,ARW
asa,ASA
asai,ASAI
asan,ASAN
asc,ASC
asg,ASG
asgi,ASGI
asgn,ASGN
ash,ASH
asix,ASIX
aspn,ASPN
asx,ASX
asxc,ASXC
atco,ATCO
aten,ATEN
atge,ATGE
athm,ATHM
ati,ATI
atip,ATIP
atkr,ATKR
atnm,ATNM
ato,ATO
atr,ATR
atto,ATTO
atus,ATUS
au,AU
aub,AUB
aud,AUD
ault,AULT
aumn,AUMN
aust,AUST
auy,AUY
ava,AVA
aval,AVAL
avb,AVB
avd,AVD
avk,AVK
avns,AVNS
avnt,AVNT
avtr,AVTR
avy,AVY
awf,AWF
awi,AWI
awk,AWK
awp,AWP
awr,AWR
awx,AWX
ax,AX
axac,AXAC
axl,AXL
axp,AXP
axr,AXR
axs,AXS
axta,AXTA
ayi,AYI
ayx,AYX
azek,AZEK
azo,AZO
azre,AZRE
azul,AZUL
azz,AZZ
b,B
baba,BABA
bah,BAH
bak,BAK
ball,BALL
baly,BALY
bam,BAM
banc,BANC
bap,BAP
bark,BARK
batl,BATL
bax,BAX
bbai,BBAI
bbar,BBAR
bbd,BBD
bbdc,BBDC
bbdo,BBDO
bbln,BBLN
bbn,BBN
bbu,BBU
bbuc,BBUC
bbva,BBVA
bbw,BBW
bbwi,BBWI
bc,BC
bcat,BCAT
bcc,BCC
bcsf,BCSF
bcv,BCV
bcx,BCX
bdc,BDC
bdj,BDJ
bdl,BDL
bdn,BDN
be,BE
bedu,BEDU
beke,BEKE
bep,BEP
bepc,BEPC
beph,BEPH
bepi,BEPI
bery,BERY
best,BEST
bfac,BFAC
bfam,BFAM
bfh,BFH
bfk,BFK
bfly,BFLY
bfs,BFS
bfz,BFZ
bg,BG
bgb,BGB
bgh,BGH
bgi,BGI
bgr,BGR
bgs,BGS
bgsf,BGSF
bgt,BGT
bgx,BGX
bgy,BGY
bh,BH
bhb,BHB
bhc,BHC
bhe,BHE
bhg,BHG
bhil,BHIL
bhk,BHK
bhlb,BHLB
bhm,BHM
bhp,BHP
bhr,BHR
bhv,BHV
bhvn,BHVN
big,BIG
bigz,BIGZ
bill,BILL
bip,BIP
bipc,BIPC
biph,BIPH
bipi,BIPI
bit,BIT
bite,BITE
bj,BJ
bk,BK
bkd,BKD
bkdt,BKDT
bkh,BKH
bki,BKI
bkkt,BKKT
bkn,BKN
bksy,BKSY
bkti,BKTI
bku,BKU
blco,BLCO
bld,BLD
bldr,BLDR
ble,BLE
blk,BLK
blnd,BLND
blw,BLW
blx,BLX
bma,BMA
bmac,BMAC
bme,BME
bmez,BMEZ
bmi,BMI
bmn,BMN
bmtx,BMTX
bmy,BMY
bned,BNED
bnh,BNH
bnj,BNJ
bnl,BNL
bnre,BNRE
bns,BNS
bny,BNY
boac,BOAC
boc,BOC
boe,BOE
boh,BOH
boot,BOOT
borr,BORR
bowl,BOWL
box,BOX
boxd,BOXD
bpt,BPT
bq,BQ
br,BR
brbr,BRBR
brbs,BRBS
brc,BRC
brcc,BRCC
brd,BRD
brdg,BRDG
brds,BRDS
brfs,BRFS
brmk,BRMK
brn,BRN
bro,BRO
bros,BROS
brsp,BRSP
brt,BRT
brw,BRW
brx,BRX
bsac,BSAC
bsaq,BSAQ
bsbr,BSBR
bsig,BSIG
bsl,BSL
bsm,BSM
bst,BST
bstz,BSTZ
bsx,BSX
bta,BTA
btcm,BTCM
bte,BTE
btg,BTG
bto,BTO
btt,BTT
bttr,BTTR
btu,BTU
btz,BTZ
bud,BUD
bui,BUI
bur,BUR
burl,BURL
buru,BURU
bv,BV
bvh,BVH
bvn,BVN
bw,BW
bwa,BWA
bwg,BWG
bwnb,BWNB
bwsn,BWSN
bwxt,BWXT
bx,BX
bxc,BXC
bxmt,BXMT
bxmx,BXMX
bxp,BXP
bxsl,BXSL
by,BY
byd,BYD
bym,BYM
byn,BYN
bzh,BZH
c,C
caap,CAAP
cabo,CABO
caci,CACI
cade,CADE
cae,CAE
caf,CAF
cag,CAG
cah,CAH
cal,CAL
calx,CALX
canf,CANF
cang,CANG
cano,CANO
capl,CAPL
carr,CARR
cars,CARS
cat,CAT
cato,CATO
catx,CATX
cb,CB
cbd,CBD
cbh,CBH
cbl,CBL
cbre,CBRE
cbt,CBT
cbu,CBU
cbz,CBZ
cc,CC
ccel,CCEL
ccf,CCF
cci,CCI
ccj,CCJ
cck,CCK
ccm,CCM
cco,CCO
ccrd,CCRD
ccs,CCS
ccv,CCV
ccvi,CCVI
ccz,CCZ
cday,CDAY
cde,CDE
cdre,CDRE
ce,CE
cee,CEE
cei,CEI
ceix,CEIX
cem,CEM
cen,CEN
cepu,CEPU
ceqp,CEQP
cet,CET
cev,CEV
cf,CF
cfg,CFG
cfr,CFR
cga,CGA
cgau,CGAU
chaa,CHAA
chct,CHCT
che,CHE
chgg,CHGG
chh,CHH
chmi,CHMI
chn,CHN
chpt,CHPT
chra,CHRA
chrb,CHRB
chs,CHS
chwy,CHWY
ci,CI
cib,CIB
cien,CIEN
cif,CIF
cii,CII
cik,CIK
cim,CIM
cint,CINT
cio,CIO
cion,CION
cir,CIR
civi,CIVI
cix,CIX
ckx,CKX
cl,CL
clb,CLB
clbr,CLBR
clco,CLCO
cldt,CLDT
clf,CLF
clh,CLH
clm,CLM
clpr,CLPR
cls,CLS
clvt,CLVT
clw,CLW
clx,CLX
cm,CM
cma,CMA
cmc,CMC
cmcl,CMCL
cmcm,CMCM
cmg,CMG
cmi,CMI
cmp,CMP
cmre,CMRE
cmt,CMT
cmtg,CMTG
cmu,CMU
cna,CNA
cnc,CNC
cnda,CNDA
cndb,CNDB
cnf,CNF
cnhi,CNHI
cni,CNI
cnk,CNK
cnm,CNM
cnmd,CNMD
cnne,CNNE
cno,CNO
cnp,CNP
cnq,CNQ
cns,CNS
cnx,CNX
coe,COE
cof,COF
cohn,COHN
cohr,COHR
cold,COLD
comp,COMP
cook,COOK
cop,COP
corr,CORR
cors,CORS
coty,COTY
cour,COUR
cp,CP
cpa,CPA
cpb,CPB
cpe,CPE
cpf,CPF
cpg,CPG
cphi,CPHI
cpk,CPK
cpng,CPNG
cpri,CPRI
cpt,CPT
cptk,CPTK
cpuh,CPUH
cqp,CQP
cr,CR
crbg,CRBG
crc,CRC
crf,CRF
crgy,CRGY
cri,CRI
crk,CRK
crm,CRM
crs,CRS
crt,CRT
csan,CSAN
csl,CSL
csr,CSR
csta,CSTA
cstm,CSTM
csv,CSV
ctbb,CTBB
ctdd,CTDD
ctgo,CTGO
ctlt,CTLT
ctm,CTM
cto,CTO
ctos,CTOS
ctr,CTR
ctra,CTRA
ctre,CTRE
cts,CTS
ctv,CTV
ctva,CTVA
cubb,CUBB
cube,CUBE
cubi,CUBI
cuk,CUK
culp,CULP
curo,CURO
curv,CURV
cuz,CUZ
cve,CVE
cveo,CVEO
cvi,CVI
cvii,CVII
cvm,CVM
cvna,CVNA
cvr,CVR
cvs,CVS
cvu,CVU
cvx,CVX
cw,CW
cwan,CWAN
cwen,CWEN
cwh,CWH
cwk,CWK
cwt,CWT
cx,CX
cxac,CXAC
cxe,CXE
cxh,CXH
cxm,CXM
cxw,CXW
cybn,CYBN
cyd,CYD
cyh,CYH
czoo,CZOO
d,D
dac,DAC
dal,DAL
dan,DAN
dao,DAO
dar,DAR
dash,DASH
dava,DAVA
dbd,DBD
dbi,DBI
dbl,DBL
dbrg,DBRG
dc,DC
dcf,DCF
dci,DCI
dco,DCO
dcp,DCP
dd,DD
ddd,DDD
ddl,DDL
dds,DDS
ddt,DDT
de,DE
dea,DEA
deck,DECK
dei,DEI
dell,DELL
den,DEN
deo,DEO
desp,DESP
dfh,DFH
dfin,DFIN
dfp,DFP
dfs,DFS
dg,DG
dgx,DGX
dhf,DHF
dhr,DHR
dht,DHT
dhx,DHX
dhy,DHY
diax,DIAX
din,DIN
dino,DINO
dis,DIS
dit,DIT
dk,DK
dkl,DKL
dks,DKS
dla,DLA
dlb,DLB
dlng,DLNG
dlr,DLR
dlx,DLX
dly,DLY
dm,DM
dma,DMA
dmb,DMB
dmf,DMF
dmo,DMO
dms,DMS
dmyy,DMYY
dna,DNA
dnb,DNB
dnmr,DNMR
dnn,DNN
dnow,DNOW
dnp,DNP
do,DO
doc,DOC
docn,DOCN
docs,DOCS
dole,DOLE
doma,DOMA
door,DOOR
doug,DOUG
dov,DOV
dow,DOW
dpg,DPG
dpsi,DPSI
dpz,DPZ
dq,DQ
drd,DRD
drh,DRH
dri,DRI
drq,DRQ
dsaq,DSAQ
dsl,DSL
dsm,DSM
dss,DSS
dsu,DSU
dsx,DSX
dtc,DTC
dtf,DTF
dtg,DTG
dtw,DTW
duk,DUK
dukb,DUKB
dv,DV
dva,DVA
dvn,DVN
dx,DX
dxc,DXC
dxf,DXF
dy,DY
e,E
ead,EAD
eaf,EAF
eai,EAI
earn,EARN
eat,EAT
eb,EB
ebf,EBF
ebr,EBR
ebs,EBS
ec,EC
ecat,ECAT
ecc,ECC
eccc,ECCC
eccv,ECCV
eccw,ECCW
eccx,ECCX
ecf,ECF
ecl,ECL
ecvt,ECVT
ed,ED
edd,EDD
edf,EDF
edi,EDI
edn,EDN
edr,EDR
edu,EDU
ee,EE
eea,EEA
eex,EEX
efc,EFC
efr,EFR
efsh,EFSH
eft,EFT
efx,EFX
efxt,EFXT
egf,EGF
eggf,EGGF
egle,EGLE
ego,EGO
egp,EGP
egy,EGY
ehab,EHAB
ehc,EHC
ehi,EHI
eic,EIC
eica,EICA
eig,EIG
eim,EIM
eix,EIX
ela,ELA
elan,ELAN
elc,ELC
ello,ELLO
elmd,ELMD
elme,ELME
els,ELS
elv,ELV
eman,EMAN
emd,EMD
eme,EME
emf,EMF
emn,EMN
emo,EMO
emp,EMP
emr,EMR
emx,EMX
enb,ENB
enba,ENBA
enfn,ENFN
enic,ENIC
enj,ENJ
enlc,ENLC
eno,ENO
enov,ENOV
enr,ENR
ens,ENS
ensv,ENSV
env,ENV
enva,ENVA
enx,ENX
enz,ENZ
eocw,EOCW
eod,EOD
eog,EOG
eoi,EOI
eos,EOS
eot,EOT
ep,EP
epac,EPAC
epam,EPAM
epc,EPC
epd,EPD
epm,EPM
epr,EPR
eprt,EPRT
eqc,EQC
eqh,EQH
eqnr,EQNR
eqr,EQR
eqs,EQS
eqt,EQT
eqx,EQX
erc,ERC
erf,ERF
erh,ERH
erj,ERJ
ero,ERO
es,ES
esab,ESAB
ese,ESE
esi,ESI
esmt,ESMT
esnt,ESNT
esrt,ESRT
ess,ESS
estc,ESTC
este,ESTE
et,ET
etb,ETB
etd,ETD
etg,ETG
etj,ETJ
etn,ETN
eto,ETO
etr,ETR
etrn,ETRN
etv,ETV
etw,ETW
etwo,ETWO
etx,ETX
ety,ETY
eu,EU
eurn,EURN
eva,EVA
evbn,EVBN
evc,EVC
evex,EVEX
evf,EVF
evg,EVG
evh,EVH
evi,EVI
evm,EVM
evr,EVR
evri,EVRI
evt,EVT
evtc,EVTC
evtl,EVTL
evv,EVV
ew,EW
exd,EXD
exg,EXG
exk,EXK
exp,EXP
expr,EXPR
exr,EXR
f,F
fact,FACT
faf,FAF
fam,FAM
fath,FATH
fbin,FBIN
fbk,FBK
fbrt,FBRT
fc,FC
fcf,FCF
fcn,FCN
fco,FCO
fcpt,FCPT
fcx,FCX
fdeu,FDEU
fdp,FDP
fdx,FDX
fe,FE
fedu,FEDU
fei,FEI
fen,FEN
feng,FENG
ferg,FERG
fet,FET
ff,FF
ffa,FFA
ffc,FFC
fgb,FGB
fgh,FGH
fhi,FHI
fhn,FHN
fico,FICO
figs,FIGS
fins,FINS
finv,FINV
fis,FIS
fix,FIX
fl,FL
flag,FLAG
flc,FLC
flme,FLME
flng,FLNG
flo,FLO
flr,FLR
fls,FLS
flt,FLT
fmc,FMC
fmn,FMN
fms,FMS
fmy,FMY
fn,FN
fnd,FND
fnf,FNF
fnv,FNV
foa,FOA
fof,FOF
for,FOR
forg,FORG
four,FOUR
foxo,FOXO
fpf,FPF
fph,FPH
fpi,FPI
fpl,FPL
fr,FR
frd,FRD
frey,FREY
frge,FRGE
fro,FRO
frt,FRT
frxb,FRXB
fsco,FSCO
fsd,FSD
fsi,FSI
fsk,FSK
fsly,FSLY
fsm,FSM
fsp,FSP
fsr,FSR
fss,FSS
ft,FT
ftch,FTCH
ftf,FTF
fthy,FTHY
fti,FTI
ftk,FTK
fts,FTS
ftv,FTV
fubo,FUBO
ful,FUL
fun,FUN
fury,FURY
fvrr,FVRR
fxlv,FXLV
g,G
gab,GAB
gaq,GAQ
gato,GATO
gatx,GATX
gau,GAU
gb,GB
gbab,GBAB
gbci,GBCI
gbli,GBLI
gbr,GBR
gbtg,GBTG
gco,GCO
gcv,GCV
gd,GD
gddy,GDDY
gdl pr c,GDL PR C
gdo,GDO
gdot,GDOT
gdv,GDV
ge,GE
gef,GEF
gehi,GEHI
gel,GEL
genc,GENC
geni,GENI
ger,GER
ges,GES
getr,GETR
gety,GETY
gff,GFF
gfi,GFI
gfl,GFL
gfx,GFX
ggb,GGB
ggg,GGG
ggn,GGN
ggt,GGT
ggz,GGZ
ghc,GHC
ghi,GHI
ghld,GHLD
ghm,GHM
ghy,GHY
gia,GIA
gib,GIB
gic,GIC
gil,GIL
gim,GIM
gis,GIS
gjh,GJH
gjo,GJO
gjp,GJP
gjr,GJR
gjs,GJS
gjt,GJT
gkos,GKOS
gl,GL
gldg,GLDG
glo,GLO
glob,GLOB
glog pr a,GLOG PR A
glop,GLOP
glp,GLP
glq,GLQ
gls,GLS
glt,GLT
glta,GLTA
glu,GLU
glv,GLV
glw,GLW
gm,GM
gme,GME
gmed,GMED
gmre,GMRE
gms,GMS
gne,GNE
gnk,GNK
gnl,GNL
gnrc,GNRC
gns,GNS
gnt,GNT
gnty,GNTY
gnw,GNW
gof,GOF
gogn,GOGN
gold,GOLD
golf,GOLF
goos,GOOS
goro,GORO
gotu,GOTU
gpc,GPC
gpi,GPI
gpja,GPJA
gpk,GPK
gpmt,GPMT
gpn,GPN
gpor,GPOR
gprk,GPRK
grbk,GRBK
grc,GRC
grf,GRF
grfx,GRFX
grmn,GRMN
grnd,GRND
grnt,GRNT
grov,GROV
groy,GROY
grx,GRX
gsat,GSAT
gsbd,GSBD
gsk,GSK
gsl,GSL
gsqb,GSQB
gte,GTE
gtes,GTES
gtls,GTLS
gtn,GTN
gty,GTY
gug,GUG
gut,GUT
gva,GVA
gwh,GWH
gwre,GWRE
gxo,GXO
h,H
hae,HAE
hal,HAL
hasi,HASI
hayw,HAYW
hbb,HBB
hbi,HBI
hbm,HBM
hca,HCA
hcc,HCC
hci,HCI
hcxy,HCXY
hdb,HDB
he,HE
hei,HEI
hep,HEP
heq,HEQ
hes,HES
hesm,HESM
hfro,HFRO
hglb,HGLB
hgty,HGTY
hgv,HGV
hhc,HHC
hhla,HHLA
hi,HI
hie,HIE
hii,HII
hims,HIMS
hio,HIO
hipo,HIPO
hiw,HIW
hix,HIX
hkd,HKD
hl,HL
hlf,HLF
hlgn,HLGN
hli,HLI
hlio,HLIO
hlly,HLLY
hln,HLN
hlt,HLT
hlx,HLX
hma,HMA
hmy,HMY
hni,HNI
hnra,HNRA
hnw,HNW
hog,HOG
homb,HOMB
hous,HOUS
hov,HOV
hpe,HPE
hpf,HPF
hpi,HPI
hpp,HPP
hpq,HPQ
hps,HPS
hqh,HQH
hql,HQL
hr,HR
hrb,HRB
hri,HRI
hrl,HRL
hrt,HRT
hrtg,HRTG
hsbc,HSBC
hsc,HSC
hsy,HSY
htd,HTD
htgc,HTGC
hth,HTH
hty,HTY
hubb,HUBB
hubs,HUBS
hum,HUM
hun,HUN
husa,HUSA
huya,HUYA
hvt,HVT
hwkz,HWKZ
hwm,HWM
hxl,HXL
hy,HY
hyb,HYB
hyi,HYI
hyln,HYLN
hyt,HYT
hzo,HZO
hzon,HZON
iae,IAE
iaf,IAF
iag,IAG
iaux,IAUX
iba,IBA
ibio,IBIO
ibm,IBM
ibp,IBP
icd,ICD
ice,ICE
icl,ICL
icnc,ICNC
id,ID
ida,IDA
ide,IDE
idr,IDR
idt,IDT
idw,IDW
ie,IE
iex,IEX
iff,IFF
ifin,IFIN
ifn,IFN
ifs,IFS
iga,IGA
igc,IGC
igd,IGD
igi,IGI
igr,IGR
igt,IGT
ih,IH
ihd,IHD
ihg,IHG
ihit,IHIT
ihs,IHS
iht,IHT
ihta,IHTA
iif,IIF
iiin,IIIN
iim,IIM
iipr,IIPR
