assetRoute,assetTicker
amkr,AMKR
amlx,AMLX
amn,AMN
amnb,AMNB
amot,AMOT
ampe,AMPE
amph,AMPH
amrc,AMRC
amrk,AMRK
amrs,AMRS
amrx,AMRX
amsc,AMSC
amsf,AMSF
amswa,AMSWA
amtb,AMTB
amti,AMTI
amtx,AMTX
amwd,AMWD
amwl,AMWL
anab,ANAB
anat,ANAT
ande,ANDE
anf,ANF
angn,ANGN
ango,ANGO
anik,ANIK
anip,ANIP
annx,ANNX
aomr,AOMR
aort,AORT
aosl,AOSL
aout,AOUT
apam,APAM
apei,APEI
apg,APG
aple,APLE
apls,APLS
aplt,APLT
apog,APOG
appf,APPF
apph,APPH
appn,APPN
apps,APPS
apts,APTS
apyx,APYX
aqb,AQB
aqua,AQUA
ar,AR
aray,ARAY
arcb,ARCB
arch,ARCH
arct,ARCT
ardx,ARDX
argo,ARGO
ari,ARI
aris,ARIS
arko,ARKO
arlo,ARLO
arnc,ARNC
aroc,AROC
arow,AROW
arqt,ARQT
arr,ARR
arry,ARRY
artna,ARTNA
arvn,ARVN
arwr,ARWR
asan,ASAN
asb,ASB
asgn,ASGN
asix,ASIX
asle,ASLE
aso,ASO
aspn,ASPN
aste,ASTE
asxc,ASXC
atcx,ATCX
atec,ATEC
aten,ATEN
ater,ATER
atex,ATEX
atge,ATGE
atha,ATHA
athx,ATHX
ati,ATI
atkr,ATKR
atlc,ATLC
atni,ATNI
atnx,ATNX
atom,ATOM
atos,ATOS
atra,ATRA
atrc,ATRC
atri,ATRI
atro,ATRO
atrs,ATRS
atsg,ATSG
aub,AUB
aud,AUD
aura,AURA
ava,AVA
avah,AVAH
avav,AVAV
avd,AVD
avdx,AVDX
avid,AVID
avir,AVIR
avns,AVNS
avnt,AVNT
avnw,AVNW
avo,AVO
avro,AVRO
avte,AVTE
avtx,AVTX
avxl,AVXL
avya,AVYA
awh,AWH
awr,AWR
ax,AX
axdx,AXDX
axgn,AXGN
axl,AXL
axnx,AXNX
axsm,AXSM
axti,AXTI
azz,AZZ
b,B
baly,BALY
banc,BANC
band,BAND
banf,BANF
banr,BANR
base,BASE
batra,BATRA
batrk,BATRK
bbby,BBBY
bbcp,BBCP
bbio,BBIO
bbsi,BBSI
bcab,BCAB
bcc,BCC
bcel,BCEL
bco,BCO
bcor,BCOR
bcov,BCOV
bcpc,BCPC
bcrx,BCRX
bdc,BDC
bdn,BDN
bdsx,BDSX
bdtx,BDTX
be,BE
beam,BEAM
becn,BECN
beem,BEEM
bfc,BFC
bfly,BFLY
bfs,BFS
bfst,BFST
bgcp,BGCP
bgfv,BGFV
bgs,BGS
bh,BH
bhb,BHB
bhe,BHE
bhg,BHG
bhlb,BHLB
bhr,BHR
bhvn,BHVN
big,BIG
bigc,BIGC
bipc,BIPC
bj,BJ
bjri,BJRI
bkd,BKD
bke,BKE
bkh,BKH
bku,BKU
bl,BL
blbd,BLBD
blfs,BLFS
blfy,BLFY
bli,BLI
blkb,BLKB
blmn,BLMN
blnk,BLNK
blue,BLUE
blx,BLX
bmea,BMEA
bmi,BMI
bmrc,BMRC
bned,BNED
bnft,BNFT
bngo,BNGO
bnl,BNL
boc,BOC
bolt,BOLT
boom,BOOM
boot,BOOT
box,BOX
bpmc,BPMC
brbr,BRBR
brbs,BRBS
brc,BRC
brkl,BRKL
brmk,BRMK
brp,BRP
brsp,BRSP
brt,BRT
bry,BRY
bset,BSET
bsig,BSIG
bsrr,BSRR
btai,BTAI
btrs,BTRS
btu,BTU
btx,BTX
buse,BUSE
bv,BV
bvh,BVH
bvs,BVS
bw,BW
bwb,BWB
bxc,BXC
bxmt,BXMT
by,BY
