assetRoute,assetTicker
a,A
aa,AA
aac,AAC
aacg,AACG
aadi,AADI
aaic,AAIC
aain,AAIN
aal,AAL
aamc,AAMC
aame,AAME
aan,AAN
aaoi,AAOI
aaon,AAON
aap,AAP
aapl,AAPL
aat,AAT
aau,AAU
abbv,ABBV
abc,ABC
abcb,ABCB
abcl,ABCL
abcm,ABCM
abeo,ABEO
abev,ABEV
abg,ABG
abio,ABIO
abm,ABM
abnb,ABNB
abos,ABOS
abr,ABR
absi,ABSI
abst,ABST
abt,ABT
abus,ABUS
abvc,ABVC
ac,AC
aca,ACA
acabu,ACABU
acac,ACAC
acacu,ACACU
acad,ACAD
acah,ACAH
acahu,ACAHU
acaq,ACAQ
acax,ACAX
acb,ACB
acba,ACBA
acbau,ACBAU
accd,ACCD
acco,ACCO
acdc,ACDC
acel,ACEL
acer,ACER
acet,ACET
acgl,ACGL
acgln,ACGLN
acglo,ACGLO
acgn,ACGN
achc,ACHC
achl,ACHL
achr,ACHR
achv,ACHV
aciu,ACIU
aciw,ACIW
acls,ACLS
aclx,ACLX
acm,ACM
acmr,ACMR
acnb,ACNB
acnt,ACNT
acon,ACON
acor,ACOR
acr,ACR
acre,ACRE
acro,ACRO
acrs,ACRS
acrv,ACRV
acrx,ACRX
acst,ACST
actg,ACTG
acu,ACU
acv,ACV
acva,ACVA
acxp,ACXP
adag,ADAG
adal,ADAL
adap,ADAP
adbe,ADBE
adc,ADC
adct,ADCT
add,ADD
adea,ADEA
ader,ADER
aderu,ADERU
ades,ADES
adi,ADI
adil,ADIL
adm,ADM
adma,ADMA
admp,ADMP
adn,ADN
adnt,ADNT
adoc,ADOC
adp,ADP
adpt,ADPT
adrt,ADRT
adse,ADSE
adsk,ADSK
adt,ADT
adth,ADTH
adtn,ADTN
adtx,ADTX
adus,ADUS
adv,ADV
advm,ADVM
adxn,ADXN
ae,AE
aeae,AEAE
aeaeu,AEAEU
aef,AEF
aefc,AEFC
aeg,AEG
aehl,AEHL
aehr,AEHR
aei,AEI
aeis,AEIS
ael,AEL
aem,AEM
aemd,AEMD
aenz,AENZ
aeo,AEO
aep,AEP
aeppz,AEPPZ
aer,AER
aes,AES
aesc,AESC
aesi,AESI
aeva,AEVA
aey,AEY
aeye,AEYE
aezs,AEZS
afar,AFAR
afaru,AFARU
afb,AFB
afbi,AFBI
afcg,AFCG
afg,AFG
afgb,AFGB
afgc,AFGC
afgd,AFGD
afge,AFGE
afib,AFIB
afl,AFL
afmd,AFMD
afri,AFRI
afrm,AFRM
aft,AFT
aftr,AFTR
afya,AFYA
ag,AG
agac,AGAC
agae,AGAE
agba,AGBA
agco,AGCO
agd,AGD
age,AGE
agen,AGEN
agfs,AGFS
agfy,AGFY
agi,AGI
agil,AGIL
agio,AGIO
agl,AGL
agmh,AGMH
agnc,AGNC
agncl,AGNCL
agncm,AGNCM
agncn,AGNCN
agnco,AGNCO
agncp,AGNCP
ago,AGO
agr,AGR
agri,AGRI
agro,AGRO
agrx,AGRX
ags,AGS
agti,AGTI
agx,AGX
agys,AGYS
ahco,AHCO
ahg,AHG
ahh,AHH
ahi,AHI
ahrn,AHRN
ahrnu,AHRNU
aht,AHT
aib,AIB
aic,AIC
aif,AIF
aig,AIG
aih,AIH
aihs,AIHS
aim,AIM
aimau,AIMAU
aimbu,AIMBU
aimc,AIMC
aimd,AIMD
ain,AIN
ainc,AINC
aio,AIO
aip,AIP
airc,AIRC
airg,AIRG
airi,AIRI
airs,AIRS
airt,AIRT
airtp,AIRTP
ait,AIT
aiu,AIU
aiv,AIV
aixi,AIXI
aiz,AIZ
aizn,AIZN
ajg,AJG
ajrd,AJRD
ajx,AJX
ajxa,AJXA
akam,AKAM
akan,AKAN
akba,AKBA
akli,AKLI
akr,AKR
akro,AKRO
akts,AKTS
aku,AKU
akya,AKYA
al,AL
alar,ALAR
alb,ALB
albt,ALBT
alc,ALC
alcc,ALCC
alco,ALCO
aldx,ALDX
ale,ALE
alec,ALEC
alg,ALG
algm,ALGM
algn,ALGN
algs,ALGS
algt,ALGT
alhc,ALHC
alim,ALIM
alit,ALIT
alk,ALK
alks,ALKS
alkt,ALKT
allg,ALLG
allk,ALLK
allo,ALLO
allr,ALLR
allt,ALLT
ally,ALLY
alny,ALNY
alot,ALOT
alpau,ALPAU
alpn,ALPN
alpp,ALPP
alps,ALPS
alrm,ALRM
alrn,ALRN
alrs,ALRS
alsa,ALSA
alt,ALT
altg,ALTG
alti,ALTI
alto,ALTO
altr,ALTR
altu,ALTU
altuu,ALTUU
alv,ALV
alvo,ALVO
alvr,ALVR
alx,ALX
alxo,ALXO
alya,ALYA
alzn,ALZN
am,AM
amal,AMAL
amam,AMAM
amao,AMAO
amaou,AMAOU
amat,AMAT
amba,AMBA
ambc,AMBC
ambi,AMBI
ambo,AMBO
ambp,AMBP
amcr,AMCR
amcx,AMCX
amd,AMD
ame,AME
amed,AMED
ameh,AMEH
amg,AMG
amgn,AMGN
amh,AMH
amk,AMK
amkr,AMKR
amli,AMLI
amlx,AMLX
amn,AMN
amnb,AMNB
amot,AMOT
amp,AMP
ampe,AMPE
ampg,AMPG
amph,AMPH
ampl,AMPL
amps,AMPS
ampx,AMPX
ampy,AMPY
amr,AMR
amrc,AMRC
amrk,AMRK
amrn,AMRN
amrs,AMRS
amrx,AMRX
ams,AMS
amsc,AMSC
amsf,AMSF
amst,AMST
amswa,AMSWA
amt,AMT
amtb,AMTB
amtd,AMTD
amti,AMTI
amtx,AMTX
amv,AMV
amwd,AMWD
amwl,AMWL
amyt,AMYT
amzn,AMZN
an,AN
anab,ANAB
aneb,ANEB
anet,ANET
anf,ANF
angh,ANGH
angi,ANGI
angn,ANGN
ango,ANGO
anik,ANIK
anip,ANIP
anix,ANIX
annx,ANNX
anpc,ANPC
anss,ANSS
ante,ANTE
antx,ANTX
anvs,ANVS
any,ANY
anzu,ANZU
aod,AOD
aogo,AOGO
aomr,AOMR
aon,AON
aort,AORT
aosl,AOSL
aout,AOUT
ap,AP
apa,APA
apac,APAC
apacu,APACU
apam,APAM
apca,APCA
apcx,APCX
apd,APD
apdn,APDN
ape,APE
apei,APEI
apen,APEN
apg,APG
apgb,APGB
apgn,APGN
aph,APH
apld,APLD
aple,APLE
apls,APLS
aplt,APLT
apm,APM
apmi,APMI
apmiu,APMIU
apo,APO
apog,APOG
app,APP
appf,APPF
apph,APPH
appn,APPN
apps,APPS
apre,APRE
aprn,APRN
apt,APT
aptm,APTM
aptmu,APTMU
apto,APTO
aptv,APTV
aptx,APTX
apvo,APVO
apwc,APWC
apxiu,APXIU
apyx,APYX
aqb,AQB
aqms,AQMS
aqn,AQN
aqna,AQNA
aqnb,AQNB
aqnu,AQNU
aqst,AQST
aqu,AQU
aqua,AQUA
aqunu,AQUNU
ar,AR
arav,ARAV
aray,ARAY
arbe,ARBE
arbg,ARBG
arbk,ARBK
arbkl,ARBKL
arc,ARC
arcb,ARCB
arcc,ARCC
arce,ARCE
arch,ARCH
arco,ARCO
arct,ARCT
ardc,ARDC
ards,ARDS
ardx,ARDX
are,ARE
areb,AREB
arec,AREC
aren,AREN
ares,ARES
argd,ARGD
argo,ARGO
argx,ARGX
arhs,ARHS
ari,ARI
aris,ARIS
ariz,ARIZ
arko,ARKO
arkr,ARKR
arl,ARL
arlo,ARLO
arlp,ARLP
armk,ARMK
armp,ARMP
arnc,ARNC
aroc,AROC
arow,AROW
arqq,ARQQ
arqt,ARQT
arr,ARR
arrw,ARRW
arry,ARRY
arte,ARTE
arteu,ARTEU
artl,ARTL
artna,ARTNA
arvl,ARVL
arvn,ARVN
arw,ARW
arwr,ARWR
aryd,ARYD
arye,ARYE
asa,ASA
asai,ASAI
asan,ASAN
asc,ASC
asca,ASCA
ascb,ASCB
asg,ASG
asgi,ASGI
asgn,ASGN
ash,ASH
asix,ASIX
asle,ASLE
asln,ASLN
asmb,ASMB
asnd,ASND
asns,ASNS
aso,ASO
aspi,ASPI
aspn,ASPN
asps,ASPS
aspu,ASPU
asrt,ASRT
asrv,ASRV
asst,ASST
astc,ASTC
aste,ASTE
asti,ASTI
astl,ASTL
astr,ASTR
asts,ASTS
asur,ASUR
asx,ASX
asxc,ASXC
asys,ASYS
atai,ATAI
atak,ATAK
ataku,ATAKU
atat,ATAT
atco,ATCO
atcol,ATCOL
atcx,ATCX
atec,ATEC
aten,ATEN
ater,ATER
atex,ATEX
atge,ATGE
atha,ATHA
athe,ATHE
athm,ATHM
athx,ATHX
ati,ATI
atif,ATIF
atip,ATIP
atkr,ATKR
atlo,ATLO
atlx,ATLX
atmc,ATMC
atmv,ATMV
atmvu,ATMVU
atnf,ATNF
atni,ATNI
atnm,ATNM
atnx,ATNX
ato,ATO
atom,ATOM
atos,ATOS
atr,ATR
atra,ATRA
atrc,ATRC
atri,ATRI
atro,ATRO
atsg,ATSG
atto,ATTO
atus,ATUS
atvi,ATVI
atxg,ATXG
atxi,ATXI
atxs,ATXS
aty,ATY
au,AU
aub,AUB
aubn,AUBN
aud,AUD
audc,AUDC
augx,AUGX
auid,AUID
ault,AULT
aumn,AUMN
auph,AUPH
aur,AUR
aura,AURA
aurc,AURC
aurcu,AURCU
aust,AUST
autl,AUTL
auud,AUUD
auvi,AUVI
auvip,AUVIP
auy,AUY
ava,AVA
avac,AVAC
avah,AVAH
aval,AVAL
avav,AVAV
avb,AVB
avd,AVD
avdl,AVDL
avdx,AVDX
avgo,AVGO
avgr,AVGR
avid,AVID
avir,AVIR
avk,AVK
avns,AVNS
avnt,AVNT
avnw,AVNW
avo,AVO
avpt,AVPT
avro,AVRO
avt,AVT
avta,AVTA
avte,AVTE
avtr,AVTR
avtx,AVTX
avxl,AVXL
avy,AVY
awf,AWF
awh,AWH
awi,AWI
awin,AWIN
awk,AWK
awp,AWP
awr,AWR
awre,AWRE
awx,AWX
ax,AX
axac,AXAC
axdx,AXDX
axgn,AXGN
axl,AXL
axla,AXLA
axnx,AXNX
axon,AXON
axp,AXP
axr,AXR
axs,AXS
axsm,AXSM
axta,AXTA
axti,AXTI
ay,AY
ayi,AYI
ayro,AYRO
aytu,AYTU
ayx,AYX
az,AZ
azek,AZEK
azo,AZO
azpn,AZPN
azre,AZRE
azta,AZTA
azul,AZUL
azyo,AZYO
azz,AZZ
b,B
baba,BABA
back,BACK
baer,BAER
bafn,BAFN
bah,BAH
bak,BAK
ball,BALL
baly,BALY
bam,BAM
banc,BANC
band,BAND
banf,BANF
banfp,BANFP
banr,BANR
banx,BANX
baos,BAOS
bap,BAP
bark,BARK
base,BASE
batl,BATL
bax,BAX
bbai,BBAI
bbar,BBAR
bbby,BBBY
bbcp,BBCP
bbd,BBD
bbdc,BBDC
bbdo,BBDO
bbgi,BBGI
bbig,BBIG
bbio,BBIO
bblg,BBLG
bbln,BBLN
bbn,BBN
bbsi,BBSI
bbu,BBU
bbuc,BBUC
bbva,BBVA
bbw,BBW
bbwi,BBWI
bc,BC
bcab,BCAB
bcan,BCAN
bcat,BCAT
bcbp,BCBP
bcc,BCC
bcda,BCDA
bcel,BCEL
bcli,BCLI
bcml,BCML
bcov,BCOV
bcow,BCOW
bcpc,BCPC
bcrx,BCRX
bcsau,BCSAU
bcsf,BCSF
bctx,BCTX
bcv,BCV
bcx,BCX
bcyc,BCYC
bdc,BDC
bdj,BDJ
bdl,BDL
bdn,BDN
bdsx,BDSX
bdtx,BDTX
be,BE
beam,BEAM
beat,BEAT
becn,BECN
bedu,BEDU
beem,BEEM
beke,BEKE
belfa,BELFA
belfb,BELFB
bep,BEP
bepc,BEPC
beph,BEPH
bepi,BEPI
bery,BERY
best,BEST
bfac,BFAC
bfam,BFAM
bfc,BFC
bfh,BFH
bfi,BFI
bfin,BFIN
bfk,BFK
bfly,BFLY
bfrg,BFRG
bfri,BFRI
bfs,BFS
bfst,BFST
bfz,BFZ
bg,BG
bgb,BGB
bgcp,BGCP
bgfv,BGFV
bgh,BGH
bgi,BGI
bgne,BGNE
bgr,BGR
bgry,BGRY
bgs,BGS
bgsf,BGSF
bgt,BGT
bgx,BGX
bgxx,BGXX
bgy,BGY
bh,BH
bhac,BHAC
bhat,BHAT
bhb,BHB
bhc,BHC
bhe,BHE
bhf,BHF
bhfal,BHFAL
bhfam,BHFAM
bhfan,BHFAN
bhfao,BHFAO
bhfap,BHFAP
bhg,BHG
bhil,BHIL
bhk,BHK
bhlb,BHLB
bhm,BHM
bhp,BHP
bhr,BHR
bhv,BHV
bhvn,BHVN
biaf,BIAF
bidu,BIDU
big,BIG
bigc,BIGC
bigz,BIGZ
biib,BIIB
bili,BILI
bill,BILL
bimi,BIMI
bioc,BIOC
biol,BIOL
bior,BIOR
bios,BIOS
biox,BIOX
bip,BIP
bipc,BIPC
biph,BIPH
bipi,BIPI
bird,BIRD
bit,BIT
bite,BITE
bitf,BITF
bivi,BIVI
bj,BJ
bjdx,BJDX
bjri,BJRI
bk,BK
bkcc,BKCC
bkd,BKD
bkdt,BKDT
bkh,BKH
bki,BKI
bkkt,BKKT
bkn,BKN
bkng,BKNG
bkr,BKR
bksc,BKSC
bksy,BKSY
bkti,BKTI
bku,BKU
bkyi,BKYI
bl,BL
blac,BLAC
blacu,BLACU
blbd,BLBD
blbx,BLBX
blcm,BLCM
blco,BLCO
bld,BLD
blde,BLDE
bldp,BLDP
bldr,BLDR
ble,BLE
bleu,BLEU
blfs,BLFS
blfy,BLFY
blin,BLIN
blk,BLK
blkb,BLKB
blmn,BLMN
blnd,BLND
blng,BLNG
blngu,BLNGU
blnk,BLNK
blph,BLPH
blrx,BLRX
blte,BLTE
blue,BLUE
blw,BLW
blx,BLX
blze,BLZE
bma,BMA
bmac,BMAC
bmaq,BMAQ
bmaqu,BMAQU
bmbl,BMBL
bme,BME
bmea,BMEA
bmez,BMEZ
bmi,BMI
bmn,BMN
bmr,BMR
bmra,BMRA
bmrc,BMRC
bmrn,BMRN
bmtx,BMTX
bmy,BMY
bned,BNED
bngo,BNGO
bnh,BNH
bnix,BNIX
bnj,BNJ
bnl,BNL
bnnr,BNNR
bnox,BNOX
bnr,BNR
bnre,BNRE
bnrg,BNRG
bns,BNS
bnso,BNSO
bntc,BNTC
bntx,BNTX
bny,BNY
boac,BOAC
boc,BOC
bocn,BOCN
bocnu,BOCNU
boe,BOE
boh,BOH
bokf,BOKF
bolt,BOLT
bon,BON
boom,BOOM
boot,BOOT
borr,BORR
botj,BOTJ
bowl,BOWL
box,BOX
boxd,BOXD
boxl,BOXL
bpac,BPAC
bpacu,BPACU
bpmc,BPMC
bpopm,BPOPM
bprn,BPRN
bpt,BPT
bpth,BPTH
bpts,BPTS
bpypm,BPYPM
bpypo,BPYPO
bpypp,BPYPP
bq,BQ
br,BR
brac,BRAC
bracu,BRACU
brag,BRAG
brbr,BRBR
brbs,BRBS
brc,BRC
brcc,BRCC
brd,BRD
brdg,BRDG
brds,BRDS
brea,BREA
brez,BREZ
brfh,BRFH
brfs,BRFS
brid,BRID
briv,BRIV
brkh,BRKH
brkhu,BRKHU
brkl,BRKL
brkr,BRKR
brli,BRLI
brlt,BRLT
brmk,BRMK
brn,BRN
bro,BRO
brog,BROG
bros,BROS
brp,BRP
brqs,BRQS
brsh,BRSH
brsp,BRSP
brt,BRT
brtx,BRTX
brw,BRW
brx,BRX
bry,BRY
brze,BRZE
bsac,BSAC
bsaq,BSAQ
bsbk,BSBK
bsbr,BSBR
bset,BSET
bsfc,BSFC
bsga,BSGA
bsgau,BSGAU
bsgm,BSGM
bsig,BSIG
bsl,BSL
bsm,BSM
bsqr,BSQR
bsrr,BSRR
bst,BST
bstz,BSTZ
bsvn,BSVN
bsx,BSX
bsy,BSY
bta,BTA
btai,BTAI
btb,BTB
btbd,BTBD
btbt,BTBT
btcm,BTCM
btcs,BTCS
btcy,BTCY
bte,BTE
btg,BTG
btmd,BTMD
bto,BTO
btog,BTOG
btt,BTT
bttr,BTTR
bttx,BTTX
btu,BTU
btwn,BTWN
btwnu,BTWNU
btz,BTZ
bud,BUD
bui,BUI
bur,BUR
burl,BURL
buru,BURU
buse,BUSE
bv,BV
bvh,BVH
bvn,BVN
bvs,BVS
bvxv,BVXV
bw,BW
bwa,BWA
bwac,BWAC
bwacu,BWACU
bway,BWAY
bwb,BWB
bwbbp,BWBBP
bwc,BWC
bwen,BWEN
bwfg,BWFG
bwg,BWG
bwmn,BWMN
bwmx,BWMX
bwnb,BWNB
bwsn,BWSN
bwv,BWV
bwxt,BWXT
bx,BX
bxc,BXC
bxmt,BXMT
bxmx,BXMX
bxp,BXP
bxrx,BXRX
bxsl,BXSL
by,BY
byd,BYD
byfc,BYFC
bym,BYM
byn,BYN
bynd,BYND
byno,BYNO
bynou,BYNOU
byrn,BYRN
bysi,BYSI
byts,BYTS
bz,BZ
bzfd,BZFD
bzh,BZH
bzun,BZUN
c,C
caap,CAAP
caas,CAAS
caba,CABA
cabo,CABO
cac,CAC
cacc,CACC
caci,CACI
caco,CACO
cade,CADE
cadl,CADL
cae,CAE
caf,CAF
cag,CAG
cah,CAH
cal,CAL
calb,CALB
calm,CALM
calt,CALT
calx,CALX
camp,CAMP
camt,CAMT
can,CAN
canf,CANF
cang,CANG
cano,CANO
capl,CAPL
capr,CAPR
car,CAR
cara,CARA
carg,CARG
carm,CARM
carr,CARR
cars,CARS
carv,CARV
casa,CASA
cash,CASH
casi,CASI
cass,CASS
cat,CAT
catc,CATC
cato,CATO
catx,CATX
caty,CATY
cb,CB
cban,CBAN
cbat,CBAT
cbay,CBAY
cbd,CBD
cbfv,CBFV
cbh,CBH
cbio,CBIO
cbl,CBL
cbnk,CBNK
cbre,CBRE
cbrg,CBRG
cbrgu,CBRGU
cbrl,CBRL
cbsh,CBSH
cbt,CBT
cbu,CBU
cbz,CBZ
cc,CC
ccai,CCAI
ccaiu,CCAIU
ccap,CCAP
ccb,CCB
ccbg,CCBG
cccc,CCCC
cccs,CCCS
ccd,CCD
ccel,CCEL
ccep,CCEP
ccf,CCF
cci,CCI
ccj,CCJ
cck,CCK
ccld,CCLD
ccldo,CCLDO
ccldp,CCLDP
cclp,CCLP
ccm,CCM
ccne,CCNE
ccnep,CCNEP
cco,CCO
ccoi,CCOI
ccrd,CCRD
ccrn,CCRN
ccs,CCS
ccsi,CCSI
cctsu,CCTSU
ccv,CCV
ccvi,CCVI
ccz,CCZ
cd,CD
cdak,CDAK
cdaq,CDAQ
cdaqu,CDAQU
cday,CDAY
cde,CDE
cdio,CDIO
cdlx,CDLX
cdmo,CDMO
cdna,CDNA
cdns,CDNS
cdre,CDRE
cdro,CDRO
cdtx,CDTX
cdw,CDW
cdxc,CDXC
cdxs,CDXS
cdzi,CDZI
cdzip,CDZIP
ce,CE
cead,CEAD
ceco,CECO
cee,CEE
ceg,CEG
cei,CEI
ceix,CEIX
celc,CELC
celh,CELH
cell,CELL
celu,CELU
celz,CELZ
cem,CEM
cemi,CEMI
cen,CEN
cenn,CENN
cent,CENT
centa,CENTA
cenx,CENX
cepu,CEPU
ceqp,CEQP
cere,CERE
cers,CERS
cert,CERT
cet,CET
cetuu,CETUU
